	Count
K0/S6;G1/S7	1
A0/S10;Q1/S3	4
A0/S4;L0/S10	1
K0/S10;Q1/S3	2
T0/S2;M1/S3	1
G0/S4;G0/S1	1
D0/S5;K1/S3	2
P1/S7;Y1/S7	2
D1/S8;V1/S11	1
E0/S9;S0/S4	1
A0/S6;L1/S7	1
R1/S4;S1/S12	2
I1/S5;I1/S8	1
L1/S9;L1/S4	2
P0/S9;G1/S3	1
D0/S1;G0/S7	2
F1/S8;M1/S11	1
L1/S11;Q1/S6	1
F1/S10;I1/S6	3
L0/S2;P1/S2	1
G0/S7;K0/S1	1
E1/S4;K1/S4	2
A0/S4;F0/S9	4
V0/S5;N1/S10	2
A1/S9;V1/S4	1
E0/S6;V1/S3	2
I0/S6;A1/S10	1
D0/S2;F0/S2	2
F0/S11;I1/S10	2
H0/S2;K0/S2	2
H1/S8;H1/S1	1
L1/S12;V1/S4	1
G0/S2;K0/S8	2
L0/S2;V1/S9	4
H0/S8;I0/S4	2
E0/S6;E1/S7	4
K0/S1;D1/S3	1
I1/S10;I1/S6	1
S0/S9;I1/S3	2
I1/S12;L1/S12	4
E0/S4;S1/S8	4
I0/S10;I1/S3	3
R1/S3;S1/S8	1
H0/S7;S0/S9	2
G0/S1;Q0/S7	1
E0/S1;P1/S7	1
L0/S10;F1/S3	4
Y0/S5;F1/S7	2
H1/S1;H1/S8	1
K0/S6;A1/S7	2
L0/S10;R1/S3	1
D0/S10;L1/S12	2
A0/S9;V1/S3	1
M0/S6;L1/S12	1
K0/S1;K1/S2	1
I1/S4;I1/S9	2
A0/S9;A1/S4	1
H0/S7;L0/S9	2
A0/S5;L1/S10	3
D1/S7;S1/S10	1
K0/S4;S0/S8	1
E1/S3;T1/S7	2
K0/S5;L1/S11	2
D0/S9;R0/S4	2
A0/S1;E0/S7	2
I1/S10;L1/S3	2
H0/S8;K1/S9	1
A1/S12;L1/S8	3
I1/S8;L1/S11	2
A0/S6;K1/S3	2
L0/S4;V0/S9	3
G0/S1;I0/S7	1
V1/S6;V1/S8	1
H1/S1;T1/S7	1
H1/S12;R1/S12	1
G1/S7;S1/S10	2
A0/S5;E1/S7	2
I1/S9;L1/S4	2
L1/S10;W1/S6	2
E0/S5;M1/S7	1
E1/S12;K1/S8	1
L0/S6;W1/S6	2
E1/S4;N1/S9	3
L1/S4;L1/S12	2
I0/S7;S0/S1	3
D1/S8;L1/S12	1
L0/S8;R1/S5	2
D0/S10;K1/S7	1
H0/S2;E1/S1	1
E0/S4;N0/S9	1
V0/S10;V0/S5	2
L1/S3;S1/S8	1
L0/S8;Y0/S7	2
H1/S3;K1/S8	1
A0/S9;K1/S1	1
E0/S6;K1/S5	2
D1/S12;H1/S8	3
M0/S6;A1/S7	1
E1/S2;F1/S1	1
H1/S10;N1/S8	2
H1/S7;L1/S10	2
I1/S6;Y1/S8	1
I0/S8;Y1/S11	1
K0/S9;V1/S3	1
F1/S6;S1/S12	2
K0/S10;H1/S8	2
H1/S10;N1/S11	1
K0/S5;L1/S9	1
D0/S4;G0/S9	1
R0/S5;K1/S7	1
E0/S1;W0/S7	1
I1/S3;Y1/S12	1
I0/S1;R0/S7	2
K0/S7;T0/S9	1
A0/S7;Q0/S1	2
D1/S8;F1/S5	2
H1/S12;V1/S6	2
V0/S7;W0/S1	1
F1/S10;L1/S5	4
G0/S2;Y0/S9	1
A0/S7;K0/S1	1
H1/S4;H1/S11	1
A1/S10;L1/S6	2
F1/S5;I1/S12	1
H1/S10;L1/S4	1
K0/S7;P0/S10	1
A1/S5;I1/S11	1
A1/S8;E1/S1	1
L0/S5;K1/S10	1
F1/S11;F1/S10	1
H0/S6;K1/S7	4
F1/S4;K1/S3	2
V0/S7;Y0/S5	2
I0/S2;D1/S2	2
A0/S8;H1/S3	2
P0/S1;Y0/S5	1
G0/S1;H0/S1	2
A0/S9;L1/S7	2
T0/S6;H1/S7	2
R0/S6;D1/S7	2
D1/S4;R1/S9	2
V1/S6;Y1/S12	2
C0/S6;L1/S5	2
E0/S2;Y0/S7	1
F0/S4;L0/S9	5
F0/S8;F1/S11	2
T0/S10;E1/S3	2
S0/S1;Y1/S3	2
I0/S11;I1/S7	2
A0/S6;V0/S11	2
G1/S8;N1/S5	1
D0/S7;S1/S8	2
