	Count
A0/S3;S0/9;F-1	4
L0/S8;T0/3;F-1	3
A0/S3;P0/9;F1	2
D0/S3;Y0/9;F-1	3
R0/S9;V0/3;F1	4
G0/S3;I0/9;F-1	2
K0/S3;T0/8;F1	1
S0/S3;Y0/8;F1	2
P0/S8;R0/3;F-1	1
N0/S9;R0/3;F-1	3
A0/S8;I0/3;F-1	3
F0/S8;L0/3;F-1	1
A0/S9;G0/3;F1	6
D0/S9;T0/3;F1	2
E0/S9;M0/3;F-1	1
R0/S3;V0/9;F-1	1
D0/S3;V0/9;F1	1
N0/S3;N0/8;F1	1
E0/S8;S0/3;F-1	1
F0/S9;N0/3;F1	2
A0/S3;R0/9;F1	2
E0/S3;N0/9;F-1	1
H0/S10;H1/3;F0	5
G0/S3;Q0/9;F1	2
L0/S9;P0/3;F1	4
G0/S3;K0/9;F1	3
F0/S3;S0/8;F-1	2
K0/S9;L0/3;F-1	3
L0/S9;V0/3;F-1	1
M0/S4;M1/9;F0	4
G0/S9;S0/3;F1	3
C0/S8;K0/3;F1	1
M0/S3;T0/9;F-1	1
A0/S3;A0/8;F1	1
P0/S3;V0/9;F1	1
A0/S3;Q0/8;F-1	1
I0/S3;V0/9;F-1	2
D0/S9;Y0/3;F1	2
H0/S8;L0/3;F-1	1
M0/S9;T0/3;F-1	1
H0/S3;Q0/9;F-1	1
E0/S9;P0/3;F-1	2
T0/S3;Y0/8;F-1	2
F0/S3;Q0/9;F-1	4
C0/S3;I0/9;F1	1
R0/S3;S0/9;F1	3
D0/S9;R0/3;F1	2
E0/S3;Y0/9;F1	1
H0/S3;V0/9;F1	1
A0/S8;E0/3;F-1	2
A0/S3;T0/9;F-1	2
G0/S3;R0/9;F-1	1
H0/S9;Y0/3;F-1	2
L0/S3;N0/9;F1	2
G0/S3;V0/9;F-1	5
I0/S3;S0/9;F1	2
L0/S3;R0/9;F1	3
D0/S3;P0/9;F1	1
D0/S3;H0/8;F1	1
M0/S9;V0/3;F-1	2
L0/S3;S0/9;F1	1
L0/S3;R0/9;F-1	3
I0/S3;N0/8;F-1	1
M0/S9;V0/3;F1	1
A0/S9;V0/3;F-1	1
Q0/S9;T0/3;F-1	1
A0/S3;S0/9;F1	4
P0/S3;T0/9;F1	2
Y0/S7;Y1/6;F0	2
G0/S3;W0/9;F-1	1
H0/S3;Y0/8;F-1	2
C0/S3;T0/9;F1	1
E0/S8;F0/3;F-1	1
K0/S3;V0/9;F-1	3
Q0/S3;T0/8;F1	1
Q0/S3;V0/8;F-1	2
R0/S9;R0/3;F-1	3
G0/S9;T0/3;F1	3
A0/S8;V0/3;F-1	3
F0/S8;F1/5;F0	2
S0/S9;V0/3;F1	4
K0/S3;T0/9;F1	3
E0/S9;S0/3;F-1	2
G0/S9;G0/3;F-1	4
F0/S3;S0/9;F1	2
L0/S3;S0/8;F-1	3
D0/S3;H0/8;F-1	2
G0/S9;Q0/3;F-1	1
C0/S9;H0/3;F1	3
V0/S9;Y0/3;F-1	3
A0/S8;F0/3;F-1	1
R0/S9;S0/3;F1	2
T0/S9;V0/3;F-1	3
F0/S8;L0/3;F1	1
H0/S3;P0/9;F1	1
L0/S3;L0/9;F1	1
C0/S3;Q0/8;F1	1
I0/S9;T0/3;F1	2
N0/S9;Y0/3;F1	2
I0/S3;N0/9;F-1	1
G0/S9;W0/3;F1	1
P0/S3;Y0/9;F1	2
M0/S9;T0/3;F1	1
A0/S3;D0/9;F1	3
T0/S3;V0/9;F1	3
I0/S3;R0/8;F1	1
G0/S8;T0/3;F1	1
A0/S3;N0/9;F-1	2
R0/S9;T0/3;F1	1
D0/S9;G0/3;F1	2
E0/S9;E0/3;F-1	2
Q0/S3;V0/9;F1	2
N0/S8;V0/3;F1	1
H0/S3;T0/9;F1	2
P0/S3;T0/9;F-1	2
